timestamp,numberBike,is_weekend,is_holiday,is_school_vacation,day_of_week,temp,max_temp,min_temp,precipitation,wind_speed,visibility,fog,rain,snow,hail,thunder,tornado
2023-08-29 10:15:38+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:16:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:17:04+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:18:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:19:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:20:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:21:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:22:04+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:23:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:24:04+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:25:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:26:04+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:27:03+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:28:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:29:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:30:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:31:04+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:32:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:33:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:34:04+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:35:06+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:36:05+00:00,8.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:37:04+00:00,6.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:38:05+00:00,7.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:39:04+00:00,6.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:40:05+00:00,6.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:41:04+00:00,6.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:42:05+00:00,6.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:43:05+00:00,6.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:44:04+00:00,6.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
2023-08-29 10:45:05+00:00,6.0,False,False,True,2,22.5,27.4,18.5,0.0,7.9,11.9,0,0,0,0,0,0
